symbol,itm_call,open_interest_call,imp_vol_call,volume_call,change_call,percent_change_call,last_price_call,bid_cal,ask_call,strike,expire_date,bid_put,ask_put,last_price_put,change_put,percent_change_put,volume_put,open_interest_put,imp_vol_call,itm_put,contract_size_call,contract_symbol_call,last_trade_date_call,currency_call,contract_size_put,contract_symbol_put,last_trade_date_put,currency_put
TSLA,Y,18.0,14.500000937500001,1.0,-1.1000061,-0.5655558,193.4,196.45,196.7,16.67,2022-10-21,0.0,0.01,0.01,0.0,0.0,1.0,9756.0,14.500000937500001,N,REGULAR,TSLA221021C00016670,2022-10-21 14:07:18+00:00,USD,REGULAR,TSLA221021P00016670,2022-10-20 14:38:13+00:00,USD
TSLA,Y,185.0,11.625002734375,3.0,-2.3300018,-1.3126771,175.17,179.65,180.2,33.33,2022-10-21,0.0,0.01,0.01,0.0,0.0,5.0,11623.0,10.500003437500002,N,REGULAR,TSLA221021C00033330,2022-10-21 14:13:39+00:00,USD,REGULAR,TSLA221021P00033330,2022-10-19 19:15:34+00:00,USD
TSLA,Y,76.0,10.312503554687503,1.0,1.550003,0.9904173,158.05,163.1,163.5,50.0,2022-10-21,0.0,0.01,0.01,0.0,0.0,1.0,6192.0,8.250004843749998,N,REGULAR,TSLA221021C00050000,2022-10-21 13:58:46+00:00,USD,REGULAR,TSLA221021P00050000,2022-10-17 18:10:29+00:00,USD
TSLA,Y,378.0,8.59375462890625,161.0,4.099991,2.901621,145.4,146.3,146.65,66.67,2022-10-21,0.0,0.01,0.01,0.0,0.0,3.0,15874.0,6.7500015625000005,N,REGULAR,TSLA221021C00066670,2022-10-21 17:08:41+00:00,USD,REGULAR,TSLA221021P00066670,2022-10-21 15:13:04+00:00,USD
TSLA,Y,130.0,6.531251835937501,4.0,0.0,0.0,141.22,129.75,130.15,83.33,2022-10-21,0.0,0.01,0.01,0.0,0.0,10.0,3999.0,5.500003124999999,N,REGULAR,TSLA221021C00083330,2022-10-18 13:46:16+00:00,USD,REGULAR,TSLA221021P00083330,2022-10-19 13:30:02+00:00,USD
TSLA,Y,620.0,5.250003437499999,26.0,4.8399963,4.482308,112.82,113.05,113.5,100.0,2022-10-21,0.0,0.01,0.01,0.0,0.0,5.0,23044.0,4.500004375,N,REGULAR,TSLA221021C00100000,2022-10-21 19:06:34+00:00,USD,REGULAR,TSLA221021P00100000,2022-10-21 13:30:12+00:00,USD
TSLA,Y,212.0,5.132816083984375,77.0,0.0,0.0,90.18,96.35,96.75,116.67,2022-10-21,0.0,0.01,0.01,0.0,0.0,179.0,7802.0,3.6250009375000003,N,REGULAR,TSLA221021C00116670,2022-10-20 19:43:10+00:00,USD,REGULAR,TSLA221021P00116670,2022-10-21 17:34:23+00:00,USD
TSLA,Y,10.0,4.73437908203125,11.0,0.0,0.0,97.15,89.65,90.1,123.33,2022-10-21,0.0,0.01,0.01,0.0,0.0,1.0,3416.0,3.2500018749999997,N,REGULAR,TSLA221021C00123330,2022-10-19 15:03:18+00:00,USD,REGULAR,TSLA221021P00123330,2022-10-21 13:55:59+00:00,USD
TSLA,Y,12.0,4.648441689453126,10.0,0.0,0.0,79.25,86.25,86.8,126.67,2022-10-21,0.0,0.01,0.01,0.0,0.0,9.0,4529.0,3.1250021875,N,REGULAR,TSLA221021C00126670,2022-10-20 18:44:35+00:00,USD,REGULAR,TSLA221021P00126670,2022-10-21 17:07:21+00:00,USD
TSLA,Y,47.0,4.3828170214843745,38.0,0.0,0.0,76.8,82.9,83.45,130.0,2022-10-21,0.0,0.01,0.01,0.0,0.0,103.0,5681.0,3.0000025,N,REGULAR,TSLA221021C00130000,2022-10-20 19:42:28+00:00,USD,REGULAR,TSLA221021P00130000,2022-10-21 17:00:11+00:00,USD
